name,birth year,country
Stephen King,1947,United States
J.K. Rowling,1965,United Kingdom
NA,1983,Norway
Dan Brown,1964,United States
Agatha Christie,1890,United Kingdom
Paulo Coelho,1947,Brazil
Roald Dahl,1916,United Kingdom
Enid Blyton,1807,United Kingdom
Margaret Atwood,1939,Canada
Astrid Lindgren,1907,Sweden
Monika Fagerholm,1961,Finland
Kjell Westö,1961,Finland
Aksel Sandemose,1899,Denmark
Elena Ferrante,1943,Italy
Kazuo Ishiguro,1954,Japan
Lewis Carroll,1832,NA 
Gillian Flynn,1971,United States
John Green,1977,United States
Ransom Riggs,1979,United States
Tove Jansson,1914,Finland
Helen Frost,1949,United States