title,author,genre
The Shining,Stephen King,Thriller
The Stand,Stephen King,Thriller
Misery,Stephen King,Thriller
The Green Mile,Stephen King,Thriller
Harry Potter and the Philosopher's Stone,J.K. Rowling,Children's literature
Prizoner of Azkaban,J.K. Rowling,Children's literature
Harry Potter and the order of the Phoenix,J.K. Rowling,Children's literature
Harry Potter and the Goblet of Fire,J.K. Rowling,Children's literature
Da Vinci Code,Dan Brown,Thriller
The Lost Symbol,Dan Brown,Thriller
Angels and Demons,Dan Brown,Thriller
Murder on the Orient Express,Agatha Christie,Mystery
Death on the Nile,Agatha Christie,Mystery
The ABC murders,Agatha Christie,Mystery
Five Little Pigs,Agatha Christie,Mystery
A Caribbean Mystery,Agatha Christie,Mystery
The Mystery of the Blue Train,Agatha Christie,Mystery
Ordeal by Innocence,Agatha Christie,Mystery
The Alchemist,Paulo Coelho,Novel
Veronika Decides to Die,Paulo Coelho,Novel
By the River Piedra I sat Down and Wept,Paulo Coelho,Novel
Charlie and the Chocolate Factory,Roald Dahl,Children's literature
Matilda,Roald Dahl,Children's literature
The BFG,Roald Dahl,Children's literature
Fantastic Mr Fox,Roald Dahl,Children's literature
The Magic Finger,Roald Dahl,Children's literature
Five on a Treasure Island,Enid Blyton,Children's literature
The Magic Faraway Tree,Enid Blyton,Children's literature
The Enchanted Wood,Enid Blyton,Children's literature
The Handmaid's Tale,Margaret Atwood,Novel
Oryx and Crake,Margaret Atwood,Novel
Alias Grace,Margaret Atwood,Novel
Pippi Longstocking,Astrid Lindgren,Children's literature
Ronia the Robber's Daughter,Astrid Lindgren,Children's literature
The Brothers Lionheart,Astrid Lindgren,Children's literature
Mio my son,Astrid Lindgren,Children's literature
Junior and Karlsson,Astrid Lindgren,Children's literature
The American Girl,Monika Fagerholm,novel
Wonderful Women by the Water,Monika Fagerholm,novel
Yellow Sulphur Sky,Kjell Westö,novel
Mirage 38,Kjell Westö,novel
A Fugitive Crosses His Tracks,Aksel Sandemose,novel
The Werewolf,Aksel Sandemose,novel
We Are All Demons,Aksel Sandemose,novel
My Brilliant Friend,Elena Ferrante,novel
The Story of a New Name,Elena Ferrante,novel
Those Who Leave And Those Who Stay Behind,Elena Ferrante,novel
The Story of The Lost Child,Elena Ferrante,novel
Never Let Me Go,Kazuo Ishiguro,novel
Klara and the Sun,Kazuo Ishiguro,novel
Alice's Adventures In Wonderland,Lewis Carroll,Children's literature
Through the Looking-Glass,Lewis Carroll,Children's literature
Gone Girl,Gillian Flynn,Thriller
The Fault In Our Stars,John Green,Young Adult Fiction
Looking For Alaska,John Green,Young Adult Fiction
Paper Towns,John Green,Young Adult Fiction
Miss Peregrine's Home For Peculiar Children,Ransom Riggs,Young Adult Fiction
Moominland Midwinter,Tove Jansson,Children's literature
Finn Family Moomintroll,Tove Jansson,Children's literature
Comet in Moominland,Tove Jansson,Children's literature
Keesha's House,Helen Frost,Young Adult Fiction
Spinning Through the Universe,Helen Frost,Young Adult Fiction